jeu_vidéo,jeu_vidéoLabel,image
http://www.wikidata.org/entity/Q1159590,Danger from the Deep,http://commons.wikimedia.org/wiki/Special:FilePath/Dangerdeep%20screenshot2.png
http://www.wikidata.org/entity/Q1163986,FlightGear,http://commons.wikimedia.org/wiki/Special:FilePath/747-400%20SIA%20climbing%20out%20EGKK.png
http://www.wikidata.org/entity/Q1166314,Darksiders II,http://commons.wikimedia.org/wiki/Special:FilePath/Darksiders%20II%20girls%20at%20E3%202012%20%287166549959%29.jpg
http://www.wikidata.org/entity/Q1166932,Darwinbots,http://commons.wikimedia.org/wiki/Special:FilePath/DarwinbotsScreenshot.png
http://www.wikidata.org/entity/Q1180815,Dead Island,http://commons.wikimedia.org/wiki/Special:FilePath/Dead%20Island%20at%20the%202011%20New%20York%20Comic%20Con%20%286254213788%29.jpg
http://www.wikidata.org/entity/Q1953575,Qix,http://commons.wikimedia.org/wiki/Special:FilePath/Qix%20Arcade.jpg
http://www.wikidata.org/entity/Q796529,Far Cry 3,http://commons.wikimedia.org/wiki/Special:FilePath/Far%20Cry%203%20at%20Igromir%202012.jpg
http://www.wikidata.org/entity/Q797243,BZFlag,http://commons.wikimedia.org/wiki/Special:FilePath/Bzflagscreenshot.png
http://www.wikidata.org/entity/Q798365,CT Special Forces,http://commons.wikimedia.org/wiki/Special:FilePath/CT%20Special%20Forces%20Interface.png
http://www.wikidata.org/entity/Q815412,Akari (jeu de logique),http://commons.wikimedia.org/wiki/Special:FilePath/Lightup.PNG
http://www.wikidata.org/entity/Q840121,Wii Fit,http://commons.wikimedia.org/wiki/Special:FilePath/Wiifit.jpg
http://www.wikidata.org/entity/Q840560,Death Race,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20M%C3%A9canique%20221.JPG
http://www.wikidata.org/entity/Q842019,Dance ManiaX,http://commons.wikimedia.org/wiki/Special:FilePath/Dance%20Maniax%202nd%20Mix.jpg
http://www.wikidata.org/entity/Q842121,Jets'n'Guns,http://commons.wikimedia.org/wiki/Special:FilePath/Jetnguns%203.jpg
http://www.wikidata.org/entity/Q856904,NetHack,http://commons.wikimedia.org/wiki/Special:FilePath/Nethack.gif
http://www.wikidata.org/entity/Q858294,Tennis for Two,http://commons.wikimedia.org/wiki/Special:FilePath/Tennis%20for%20Two%20Machine%20at%20CAX%202010.jpg
http://www.wikidata.org/entity/Q863036,Let's Go Jungle!: Lost on the Island of Spice,http://commons.wikimedia.org/wiki/Special:FilePath/Let%27s%20GO%20ISLAND%2020170415%20121042.jpg
http://www.wikidata.org/entity/Q870981,Super Smash Bros.,http://commons.wikimedia.org/wiki/Special:FilePath/Nintendo%2064%20%2826017220053%29.jpg
http://www.wikidata.org/entity/Q893422,Borderlands 2,http://commons.wikimedia.org/wiki/Special:FilePath/Borderlands%202%20%289647608183%29.jpg
http://www.wikidata.org/entity/Q905193,EZ2DJ,http://commons.wikimedia.org/wiki/Special:FilePath/EZ2DJ%20Cabinet.jpg
http://www.wikidata.org/entity/Q913218,Viva Piñata,http://commons.wikimedia.org/wiki/Special:FilePath/Viva%20World%27s%20Largest%20Pinata.jpg
http://www.wikidata.org/entity/Q917027,Pengo,http://commons.wikimedia.org/wiki/Special:FilePath/Video%20games%20Asteroids%20Popeye%20Klax%20Pengo.jpg
http://www.wikidata.org/entity/Q918194,The Longest Journey,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Longest%20Journey-Arcadia-Map.png
http://www.wikidata.org/entity/Q931056,Simutrans,http://commons.wikimedia.org/wiki/Special:FilePath/Simutrans%20pak64.png
